States,total_assaults,total_cases
Andhra Pradesh,9445,12305
Arunachal Pradesh,210,393
Assam,7671,11588
Bihar,522,3229
Chhattisgarh,3638,7509
Goa,293,467
Gujarat,2388,4430
Haryana,3746,6426
Himachal Pradesh,844,1393
Jammu & Kashmir,2578,3173
Jharkhand,1511,3984
Karnataka,10372,13737
Kerala,8016,11124
Madhya Pradesh,16766,27340
Maharashtra,23109,32978
Manipur,149,284
Meghalaya,163,480
Mizoram,146,251
Nagaland,22,104
Odisha,14751,20242
Punjab,2148,4267
Rajasthan,9652,17414
Sikkim,55,163
Tamil Nadu,2017,3757
Telangana,7375,10487
Tripura,566,1102
Uttar Pradesh,19220,29413
Uttarakhand,662,1381
West Bengal,9246,13275
A & N Islands,103,183
Chandigarh,152,298
D&N Haveli,6,32
Daman & Diu,11,29
Delhi UT,9532,14133
Lakshadweep,7,12
Puducherry,76,103
