state,Rural,Urban
Andhra Pradesh,60.4,80.1
Arunachal Pradesh,59.9,82.9
Assam,69.3,88.5
Bihar,59.8,76.9
Chhattisgarh,66,84
Goa,86.6,90
Gujarat,71.7,86.3
Haryana,71.4,83.1
Himachal Pradesh,81.9,91.1
Jammu & Kashmir,63.2,77.1
Jharkhand,61.1,82.3
Karnataka,68.7,85.8
Kerala,93,95.1
Madhya Pradesh,63.9,82.8
Maharashtra,77,88.7
Manipur,73.4,85.4
Meghalaya,69.9,90.8
Mizoram,84.1,97.6
Nagaland,75.3,89.6
Odisha,70.2,85.7
Punjab,71.4,83.2
Rajasthan,61.4,79.7
Sikkim,78.9,88.7
Tamil Nadu,73.5,87
Tripura,84.9,93.5
Uttar Pradesh,65.5,75.1
Uttarakhand,76.3,84.5
West Bengal,72.1,84.8
A & N Islands,84.5,90.1
Chandigarh,80.7,86.2
D & N Haveli,64.1,89.8
Daman & Diu,81.4,89
Lakshadweep,91.6,91.9
NCT of Delhi,81.9,86.3
Puducherry,80.1,88.5
